Unnamed: 0,City,Latitude,Longitude,CS,Population,Electricity Consumption
256,Slănic,45.2283862,24.8892827,False,6034,0.7247999999999999
257,Slănic-Moldova,46.2066318,26.438397,False,4198,0.6911999999999999
258,Slatina,44.4299971,24.3631837,True,70293,0.9168
259,Slobozia,44.5635999,27.3618477,True,48891,0.9112
260,Solca,47.699949,25.8373688,False,2188,0.6776
261,Șomcuta Mare,47.5004276,23.4709709,False,7565,0.7631999999999999
262,Sovata,46.5971683,25.07328,False,10385,0.8048
263,Ștefănești,44.8751485,24.9606247,True,5314,0.7111999999999999
264,Ștefănești,47.7916909,27.2005314,False,5314,0.7111999999999999
265,Ștei,46.5357554,22.4557453,False,6529,0.7335999999999999
266,Strehaia,44.6230405,23.1957462,False,10506,0.8088
267,Suceava,47.53265345,25.834593917414125,False,4687,0.696
269,Tălmaciu,45.6646194,24.2659424,True,6905,0.7407999999999999
270,Țăndărei,44.6419986,27.6530653,False,13219,0.8343999999999999
271,Târgoviște,44.9267709,25.462816,True,79610,0.92
272,Târgu Bujor,45.8702117,27.9138118,False,6299,0.7303999999999999
273,Târgu Cărbunești,44.9605231,23.5102158,False,8034,0.7719999999999999
274,Târgu Frumos,47.2100643,27.0136647,False,10475,0.8079999999999999
275,Târgu Jiu,45.0422947,23.2728118,True,82504,0.9208
276,Târgu Lăpuș,47.4535458,23.8646852,False,11744,0.8223999999999999
277,Târgu Mureș,46.5446253,24.561196,True,144290,0.9248
278,Târgu Neamț,47.2064268,26.360439,True,18695,0.8664
279,Târgu Ocna,46.2801933,26.6095512,False,11300,0.8183999999999999
280,Târgu Secuiesc,46.0007042,26.1373615,False,18491,0.8647999999999999
281,Târnăveni,46.3295278,24.2804126,False,22075,0.8744
282,Tășnad,47.4780916,22.5848552,False,8631,0.7767999999999999
283,Tăuții-Măgherăuș,47.6659652,23.467985,False,7136,0.7487999999999999
284,Techirghiol,44.0555067,28.5998797,True,7292,0.7544
285,Tecuci,45.8457816,27.4290798,False,34871,0.9016
286,Teiuș,46.2060232,23.6754133,False,6695,0.736
287,Țicleni,44.8836766,23.3941438,False,4414,0.6935999999999999
288,Timișoara,45.7538355,21.2257474,True,303708,0.9288
289,Tismana,44.5235481,22.6638681,False,7035,0.7472
290,Titu,44.662369,25.5738704,False,9355,0.7888
291,Toplița,46.9241326,25.3524527,False,13929,0.8392
292,Topoloveni,44.8079716,25.0852836,True,10219,0.8008
293,Tulcea,45.177518,28.8016348,False,5140,0.7071999999999999
294,Turceni,44.6807576,23.3730835,False,7269,0.7519999999999999
295,Turda,46.5649706,23.7798424,True,47744,0.9104
296,Turnu Măgurele,43.7518306,24.8691717,False,24772,0.8832
297,Ulmeni,47.4657382,23.3005149,False,7270,0.7527999999999999
298,Ungheni,46.4834798,24.4574193,True,6945,0.7432
299,Uricani,47.156943,27.4861112,True,8972,0.7824
300,Urlați,44.991969,26.2326827,True,10541,0.8104
301,Urziceni,44.717002,26.6324066,True,15308,0.8488
302,Valea lui Mihai,47.5171304,22.1348938,False,9902,0.7968
303,Vălenii de Munte,45.1846248,26.0389407,False,12257,0.828
304,Vânju Mare,44.4250326,22.8712672,False,6011,0.7232
305,Vașcău,46.4706807,22.4751303,False,2315,0.6783999999999999
306,Vaslui,46.496847,27.80367514974256,False,7674,0.7671999999999999
307,Vatra Dornei,47.3469264,25.3557638,False,14429,0.844
308,Vicovu de Sus,47.9243533,25.6711233,False,13308,0.8351999999999999
309,Victoria,45.7261596,24.7028112,True,7386,0.7567999999999999
310,Videle,44.274599,25.5277294,False,11508,0.8208
311,Vișeu de Sus,47.7099597,24.4311547,True,15037,0.848
312,Vlăhița,46.3445399,25.5298049,False,6898,0.7392
313,Voluntari,44.4902779,26.1772794,True,42944,0.908
314,Vulcan,45.3748642,23.2940874,False,24160,0.8807999999999999
315,Zalău,47.1819416,23.0562143,False,56202,0.9144
316,Zărnești,45.5595685,25.3160513,False,23476,0.8792
317,Zimnicea,43.6542344,25.3655464,False,14058,0.84
318,Zlatna,46.1113532,23.2247191,False,7490,0.7615999999999999
